date,open,high,low,close,volume,closeadj,return,cumul,7days,14days
2011-01-03,11.63,11.795,11.601,11.77,445138400,10.105,0,0,,
2011-01-04,11.873,11.875,11.72,11.832,309080800,10.158,0.00524492825334,0.00524492825333978,,
2011-01-05,11.77,11.941,11.768,11.928,255519600,10.241,0.008170899783422,0.0134586838198911,,
2011-01-06,11.954,11.973,11.889,11.919,300428800,10.233,-0.000781173713505,0.0126669965363682,,
2011-01-07,11.928,12.012,11.854,12.004,311931200,10.306,0.007133782859377,0.0198911429985154,,
2011-01-10,12.101,12.258,12.042,12.23,448560000,10.5,0.018823986027557,0.0390895596239484,,
2011-01-11,12.317,12.32,12.124,12.201,444108000,10.475,-0.002380952380952,0.0366155368629391,,
2011-01-12,12.259,12.301,12.214,12.301,302590400,10.56,0.008114558472554,0.0450272142503712,0.0450272142503712,
2011-01-13,12.327,12.38,12.28,12.346,296780400,10.599,0.003693181818182,0.0488866897575457,0.0434140578854105,
2011-01-14,12.353,12.446,12.302,12.446,308840000,10.685,0.008113973016322,0.0573973280554181,0.0433551410995021,
2011-01-18,11.768,12.313,11.643,12.166,1880998000,10.445,-0.022461394478241,0.0336467095497279,0.0207172872080523,
2011-01-19,12.441,12.45,12.031,12.101,1135612800,10.389,-0.005361416945907,0.0281048985650667,0.0080535610324084,
2011-01-20,12.015,12.082,11.79,11.882,764789200,10.2,-0.018192318798729,0.00940128649183558,-0.0285714285714287,
2011-01-21,11.92,11.96,11.665,11.668,754401200,10.018,-0.017843137254902,-0.00860959920831272,-0.0436276849642003,
2011-01-24,11.674,12.052,11.668,12.052,574683200,10.347,0.032840886404472,0.0239485403265709,-0.0201704545454546,0.0239485403265709
2011-01-25,12.012,12.194,11.949,12.193,546868000,10.468,0.011694210882382,0.0359228104898563,-0.0123596565713747,0.0305178184682024
2011-01-26,12.248,12.343,12.197,12.28,506875600,10.543,0.007164692395873,0.0433448787728845,-0.0132896583996257,0.0294893076847964
2011-01-27,12.278,12.31,12.244,12.258,285026000,10.523,-0.001896993265674,0.0413656605640771,0.00746768788894192,0.0283396853317697
2011-01-28,12.292,12.3,11.912,12.004,592057200,10.305,-0.020716525705597,0.0197921820880751,-0.00808547502165746,-9.70308558121413E-05
